basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse
03/02464000,0.15080183744430542,0.1824062317609787,0.17726626992225647,0.18399067223072052,0.19182127714157104,0.18068303167819977,0.16138574481010437,0.17547932267189026
03/02464360,0.2507733404636383,0.24734365940093994,0.2540722191333771,0.25767749547958374,0.2442442625761032,0.2535993158817291,0.25919482111930847,0.25241509079933167
03/02465493,0.3701111078262329,0.38491514325141907,0.38481858372688293,0.38834404945373535,0.39220526814460754,0.3925812840461731,0.4046870470046997,0.3882373869419098
03/02469800,0.18105004727840424,0.19656136631965637,0.20144662261009216,0.20529289543628693,0.206205353140831,0.20151068270206451,0.2008528858423233,0.19898861646652222
03/02472000,0.1099395900964737,0.14533273875713348,0.15151439607143402,0.16662366688251495,0.17452295124530792,0.16662321984767914,0.15785503387451172,0.15320219099521637
03/02472500,0.21433764696121216,0.23160842061042786,0.23147033154964447,0.2369648665189743,0.2590371370315552,0.26710864901542664,0.22795510292053223,0.2383546680212021
03/02479155,0.34309646487236023,0.37536922097206116,0.37568119168281555,0.3675857484340668,0.3751259744167328,0.37728261947631836,0.4024251699447632,0.3737953305244446
03/02479300,0.10106820613145828,0.18253280222415924,0.2105545699596405,0.22222964465618134,0.22843016684055328,0.23110856115818024,0.2329532504081726,0.20126989483833313
03/02479560,0.10543826967477798,0.17026087641716003,0.19056713581085205,0.18921281397342682,0.19456546008586884,0.20033647119998932,0.19308485090732574,0.1776380091905594
03/02481000,0.20624731481075287,0.2415914684534073,0.24129065871238708,0.25210314989089966,0.25597280263900757,0.25864067673683167,0.30342596769332886,0.25132542848587036
04/04015330,0.3347195088863373,0.3609427213668823,0.36268067359924316,0.3596187233924866,0.3582768142223358,0.344475656747818,0.3584539294242859,0.35416680574417114
04/04024430,0.1656181663274765,0.2449825406074524,0.2785922586917877,0.3145507574081421,0.3382250666618347,0.3591206967830658,0.3808809220790863,0.29742351174354553
04/04027000,0.08809498697519302,0.1775965839624405,0.24375100433826447,0.2820297181606293,0.30112919211387634,0.29742467403411865,0.28546246886253357,0.23935243487358093
04/04040500,0.04455973207950592,0.1042701005935669,0.15314042568206787,0.1891261339187622,0.2174929976463318,0.22534020245075226,0.23280870914459229,0.16667009890079498
04/04043050,0.09827204048633575,0.16717243194580078,0.2201894372701645,0.2629481554031372,0.3000732362270355,0.2946476936340332,0.2914363443851471,0.23353299498558044
04/04045500,0.0038671984802931547,0.011528760194778442,0.02201732248067856,0.03565169498324394,0.05110219866037369,0.0649949461221695,0.08268379420042038,0.0388353131711483
04/04057510,0.03907918557524681,0.09323083609342575,0.12854509055614471,0.15414272248744965,0.1727193295955658,0.1873948872089386,0.199040487408638,0.13916271924972534
04/04057800,0.062395527958869934,0.13514800369739532,0.18986935913562775,0.23582270741462708,0.2661394476890564,0.26794251799583435,0.26594045758247375,0.20331960916519165
04/04059500,0.021730074658989906,0.05670800060033798,0.09086286276578903,0.12277204543352127,0.14539912343025208,0.16176532208919525,0.17633619904518127,0.11079671233892441
04/04063700,0.019690178334712982,0.05800587311387062,0.0954517275094986,0.1298801302909851,0.15934714674949646,0.18490082025527954,0.2067529708147049,0.12199940532445908
04/04074950,0.028103012591600418,0.0684412494301796,0.098665252327919,0.12447470426559448,0.1476656198501587,0.16761939227581024,0.18564461171627045,0.11722265928983688
